ID,Phase,Priority,Task,Owner,Reviewer,Start,Due,Depends on,Done when,Status
J02,Supply (daily),P0,Geeta University placement cell: recruiter list + alumni companies; university as pilot partner,Ram,,2026-09-28,2026-10-05,,Meeting done; recruiter list received; pilot agreed,Not started
J03,Supply (daily),P1,Assisted posting: team posts jobs from JDs employers send on WhatsApp/email (with employer consent),Ram,Tripti,2026-09-29,2026-10-10,S04,Each assisted post has employer contact and consent recorded,Not started
J04,Supply (daily),P1,Government jobs daily curation process (Employment News / NCS / state PSC notifications),Ram,,2026-10-01,2026-10-10,G01,Daily posts with official source link,Not started
L01,Launch ops,P0,"Moderation SOP: what verifies an employer, banned job types (any fee charged to candidates), response time, admin rota",Ram,Tripti,2026-09-27,2026-09-30,,Written SOP shared; rota for 11-25 Oct assigned,Not started
L02,Launch ops,P1,"Launch channels: WhatsApp/Telegram jobs channel, LinkedIn page, college ambassadors, launch posts drafted",Ram,Sneha,2026-10-01,2026-10-09,,Channels live; launch posts scheduled,Not started
L03,Launch ops,P1,Support inbox + FAQ + canned replies,Ram,Tripti,2026-10-03,2026-10-08,,Support email monitored daily,Not started
L04,Launch ops,P2,Pricing discovery: interview 10 employers on featured jobs / paid plans,Ram,,2026-10-01,2026-10-10,,Notes from 10 interviews; draft pricing,Not started
Q01,P1-P3 QA,P0,Four-role test checklist (visitor/candidate/employer/admin) covering launch scope only,Tripti,Ram,2026-09-27,2026-09-30,,Checklist reviewed by each owner,Not started
Q02,P1-P3 QA,P0,Automated regression tests for S02/S03/S04/S05/S08 fixes,Tripti,Vivek,2026-09-29,2026-10-03,S02;S03;S04;S05;S08,Tests in CI and passing,Not started
Q03,P3 Freeze and test,P0,k6 load test against staging copy (not production DB),Tripti,Imran,2026-10-06,2026-10-07,I04;I06,"100 concurrent users, job list p95 < 1.5 s, errors < 1%",Not started
Q04,P3 Freeze and test,P0,Code freeze: merge launch/job-portal into main; only bug fixes after,Vivek,Tripti,2026-10-06,2026-10-06,,Freeze announced; main deployed to production,Not started
Q05,P3 Freeze and test,P0,Closed beta: 50 students + 10 employers; bug log and daily triage,Tripti,Ram,2026-10-06,2026-10-08,Q04,All beta P0 bugs fixed,Not started
Q06,P4 Fix and decide,P0,Go/no-go meeting against README checklist,Ram,All,2026-10-10,2026-10-10,Q05,All checklist items ticked or explicitly accepted,Not started
Q07,Launch,P0,Public launch + daily triage (10:00) and metrics review (18:00) until 25 Oct,All,Ram,2026-10-11,2026-10-25,Q06,Launched; daily reports posted,Not started
